name,fedex_rank_current
Scottie Scheffler,1
Matt Fitzpatrick,2
Cameron Young,3
Si Woo Kim,4
Wyndham Clark,5
Sam Burns,6
Chris Gotterup,7
Tommy Fleetwood,8
Collin Morikawa,9
Ludvig Aberg,10
Xander Schauffele,11
Jacob Bridgeman,12
Rory McIlroy,13
Russell Henley,14
Akshay Bhatia,15
Hideki Matsuyama,16
Ryan Gerard,17
Min Woo Lee,18
Kristoffer Reitan,19
Alex Fitzpatrick,20
J.J. Spaun,21
Viktor Hovland,22
Alex Smalley,23
Justin Rose,24
Ryan Fox,25
Tom Kim,26
Adam Scott,27
Kurt Kitayama,28
Bud Cauley,29
Rickie Fowler,30
Gary Woodland,31
J.T. Poston,32
Nicolai Hojgaard,33
Alex Noren,34
Jake Knapp,35
Robert MacIntyre,36
Aaron Rai,37
Ben Griffin,38
Sepp Straka,39
Sungjae Im,40
Michael Thorbjornsen,41
Nico Echavarria,42
Patrick Cantlay,43
Justin Thomas,44
Ryo Hisatsune,45
Sahith Theegala,46
Michael Brennan,47
Eric Cole,48
Maverick McNealy,49
Matt McCarty,50
Keith Mitchell,51
Jordan Spieth,52
Max Homa,53
Harris English,54
Pierceson Coody,55
Harry Hall,56
Sam Stevens,57
Sudarshan Yellamaraju,58
Corey Conners,59
Daniel Berger,60
Michael Kim,61
Shane Lowry,62
Nick Taylor,63
Patrick Rodgers,64
Brian Harman,65
Jordan Smith,66
Jackson Koivun,67
Aldrich Potgieter,68
Ricky Castillo,69
Matti Schmid,70
