name,fedex_rank
Scottie Scheffler,1
Matt Fitzpatrick,2
Cameron Young,3
Wyndham Clark,4
Chris Gotterup,5
Collin Morikawa,6
Si Woo Kim,7
Sam Burns,8
Tommy Fleetwood,9
Ludvig Åberg,10
Xander Schauffele,11
Rory McIlroy,12
Jacob Bridgeman,13
Akshay Bhatia,14
Russell Henley,15
Ryan Gerard,16
Min Woo Lee,17
Kristoffer Reitan,18
Alex Fitzpatrick,19
Hideki Matsuyama,20
J.J. Spaun,21
Ryan Fox,22
Viktor Hovland,23
Justin Rose,24
Alex Smalley,25
Tom Kim,26
Gary Woodland,27
Rickie Fowler,28
Adam Scott,29
J.T. Poston,30
Robert MacIntyre,31
Nicolai Hojgaard,32
Kurt Kitayama,33
Bud Cauley,34
Aaron Rai,35
Ben Griffin,36
Sepp Straka,37
Michael Thorbjornsen,38
Justin Thomas,39
Jake Knapp,40
Nico Echavarria,41
Patrick Cantlay,42
Ryo Hisatsune,43
Sahith Theegala,44
Eric Cole,45
Alex Noren,46
Michael Brennan,47
Matt McCarty,48
Keith Mitchell,49
Maverick McNealy,50
Harris English,51
Max Homa,52
Sungjae Im,53
Jordan Spieth,54
Sam Stevens,55
Pierceson Coody,56
Sudarshan Yellamaraju,57
Harry Hall,58
Corey Conners,59
Daniel Berger,60
Michael Kim,61
Shane Lowry,62
Nick Taylor,63
Jordan Smith,64
Brian Harman,65
Patrick Rodgers,66
Aldrich Potgieter,67
Ricky Castillo,68
Matti Schmid,69
Jackson Koivun,70
